,0
0,8984343738447.896
1,17065471370456.85
2,8983825829860.52
3,8579388933265.389
4,8984343738447.7
5,17065240345486.498
6,8579364291240.506
7,8579388933267.189
8,8679256705966.108
9,8679512372964.194
10,8905469843619.633
11,16760640004973.896
12,16660516565274.564
13,-45096208555615.81
14,8983825829862.395
15,-45174046633272.33
16,16760408980002.97
17,16660747590244.916
18,16986859717218.629
19,16986859717217.203
20,-45174277658241.25
21,16760408980003.47
22,-53176818279038.17
23,8905987752203.936
24,-45500932335827.22
25,8579388933267.564
26,8984088071452.666
27,16986884359242.91
28,8679512372962.468
29,17065240345487.775
30,16660747590243.865
31,16660229681658.885
32,8579388933267.115
33,8579619958234.088
34,17064953461869.545
35,-45174564541858.58
36,8984112713478.824
37,8905732085208.477
38,16660747590245.018
39,-53177336187624.32
40,16986597475627.756
41,16660516565274.94
42,8679512372962.468
43,8679256705968.585
44,16986884359244.785
45,8984343738448.152
46,16987115384212.963
47,16760384337975.209
48,-45095921671998.56
49,17064953461869.244
50,16660491923248.709
51,16986859717216.402
52,16986859717217.879
53,17065215703460.115
54,8579102049648.283
55,-53255174265281.88
56,16660491923249.607
57,16760122096387.115
58,8905987752205.139
59,16760122096385.94
60,16986884359243.21
61,16660516565276.518
62,8679512372965.097
63,17065215703460.76
64,16760384337975.838
65,8679281347994.37
66,-45174046633272.33
67,16660747590243.342
68,-53177336187624.65
69,8984343738446.85
70,8905756727234.938
71,16660491923248.26
72,8984112713477.098
73,8679512372963.265
74,-45095690647029.79
75,8984088071450.49
76,8678994464376.062
77,-53482167553107.98
78,16760640004972.021
79,16760408980002.717
80,17065471370457.076
81,-45174046633272.91
82,17064953461871.494
83,16760640004972.244
84,16760384337975.436
85,-45174046633273.01
86,-45096208555615.59
87,8984112713479.352
88,16660229681658.037
89,8905987752204.01
90,16760384337975.135
91,8679281347994.772
92,16986597475628.658
93,-45095921671998.484
94,16986859717217.129
95,17065240345488.447
96,-53255174265281.28
97,16660516565274.717
98,-53176818279038.14
99,-45401039921099.4
100,8679281347993.12
101,8984088071450.416
102,8579364291240.432
103,-53176818279038.87
104,8905732085207.8
105,8905756727236.29
106,16987115384213.787
107,8579388933266.889
108,16660516565275.768
109,17065471370455.572
110,-45174277658241.93
111,16660229681657.885
112,-45500932335827.97
113,16986859717218.748
114,17065240345486.498
115,8984343738447.422
116,8678994464376.362
117,16760122096386.639
118,8579102049650.115
119,16986884359244.11
120,8679281347993.769
121,8905732085209.602
122,16760408980004.295
123,8984343738448.424
124,8983825829861.496
125,-53581773084219.02
126,8678994464378.616
127,-53482167553108.35
128,8984088071450.639
129,16986859717218.426
130,8579102049650.084
131,16660229681658.213
132,8905756727233.96
133,8984343738446.396
134,-53177073946034.5
135,16660491923248.885
136,-53255174265281.31
137,16760122096385.889
138,16660747590244.666
139,17065240345487.025
140,-45500670094237.555
141,17065215703461.662
142,8678994464377.339
143,8905756727235.312
144,-45500670094237.7
145,-53581542059250.3
146,16986859717218.254
147,-45400753037482.49
148,16660747590243.166
149,8984088071452.365
150,8579619958236.564
151,16986597475627.857
152,16987115384213.861
153,16987115384213.94
154,16660491923249.654
155,16660747590244.99
156,-45174046633272.63
157,-53481649644522.37
158,8984112713477.625
159,8679512372963.519
160,16660229681658.436
161,-53481905311518.055
162,16760122096386.963
163,-45500414427241.19
164,8984343738447.344
165,16760122096385.537
166,8905756727236.887
167,16660229681658.213
168,8678994464378.163
169,16660747590245.666
170,8679281347993.241
171,8905732085207.727
172,-53255174265281.58
173,17064953461871.72
174,8579619958235.064
175,16986884359243.809
176,16760384337975.885
177,16986884359245.535
178,8679281347996.171
179,8905469843619.184
180,8984088071450.94
181,8579619958236.717
182,17065215703460.643
183,8679281347994.819
184,16986884359243.434
185,8579619958234.189
186,8579388933267.49
187,-45500414427240.99
188,8905756727234.488
189,8579364291239.232
190,17065240345487.623
191,8905756727235.54
192,-45401039921099.9
193,16986859717218.777
194,8679281347995.269
195,16986597475628.584
196,8579619958236.893
197,16660229681657.611
198,17065471370456.623
199,-53581542059250.0
200,8679512372963.519
201,8905987752203.412
202,-45174277658241.52
203,-45174046633272.734
204,8984088071452.139
205,16987115384214.314
206,16660229681658.06
207,8984343738448.35
208,-53255174265281.28
209,16987115384214.162
210,8905469843619.38
211,8984112713479.273
212,16760122096386.588
213,16986859717215.926
214,8679281347995.019
215,-53581797726246.81
216,8579619958235.365
217,17065215703460.342
218,17065215703461.916
219,17065471370457.85
220,8984088071449.963
221,8905756727235.836
222,16986884359243.61
223,8905469843617.758
224,8679512372962.694
225,16660229681658.287
226,17065471370454.924
227,16986597475626.107
228,8579364291239.607
229,16986597475626.932
230,8579388933266.889
231,-53581797726246.39
232,-53177049304007.586
233,-45400753037482.52
234,8678994464376.815
235,8579364291241.002
236,-53177049304006.984
237,8905987752204.66
238,16760408980002.744
239,8679281347993.468
240,8905756727237.236
241,8905732085208.955
242,-45174046633272.48
243,16987115384213.564
244,-45500414427241.445
245,8983825829861.344
246,8579619958235.967
247,8679281347994.444
248,8579388933266.514
249,16986859717216.3
250,-45174046633272.78
251,8984343738447.674
252,-53581797726246.414
253,16987115384214.887
254,16760640004970.994
255,8905756727236.29
256,16987115384212.484
257,17065215703458.842
258,16760122096387.537
259,16760640004973.596
260,8983825829860.145
261,16660491923249.307
262,8984088071451.389
263,16660516565275.99
264,16986859717217.426
265,8983825829862.02
266,16986884359244.734
267,16986859717216.902
268,8905987752203.713
269,8984112713477.172
270,17065471370457.674
271,8905732085208.354
272,-53255405290250.58
273,8905756727236.512
274,8905732085208.027
275,16660516565274.564
276,16660516565277.041
277,8579619958234.615
278,8579364291239.006
279,8905756727234.188
280,16760384337977.385
281,8579388933265.541
282,-53255405290250.58
283,8579364291240.881
284,16660491923249.908
285,16760640004970.97
286,8905469843619.232
287,16760122096387.041
288,17065471370454.9
289,-45095690647029.336
290,8905987752205.588
291,8679512372964.722
292,8679512372964.046
293,8905469843617.383
294,8679281347995.421
295,8579619958236.084
296,-45174046633273.01
297,8679256705967.46
298,-45500414427241.56
299,17065471370455.873
300,16986597475628.629
301,8579388933266.564
302,-45400777679509.91
303,-53481905311518.055
304,16760640004971.72
305,17065240345485.975
306,-45095921671998.04
307,8905756727236.664
308,8579619958236.939
309,8679512372963.671
310,17065215703461.361
311,8983825829861.793
312,8905987752204.01
313,8984088071450.416
314,8579364291239.381
315,8579102049650.51
316,16660747590243.24
317,8984343738446.096
318,8905987752205.139
319,17065215703459.365
320,16660516565274.94
321,8905756727236.512
322,17065471370455.248
323,16660229681659.338
324,8983825829862.469
325,16986859717216.754
326,16760122096386.514
327,8679256705966.187
328,16986884359245.387
329,8579364291240.326
330,8679512372962.995
331,16760408980002.87
332,-45500670094237.305
333,16986859717218.254
334,16660747590244.615
335,8679281347995.194
336,17065240345488.4
337,8579364291238.857
338,8579388933267.939
339,16660491923247.682
340,8679281347993.593
341,17064953461870.143
342,8679512372964.347
343,16760122096386.213
344,16660516565276.592
345,8579388933266.365
346,8983825829860.895
347,17065215703458.99
348,16760384337977.463
349,17065215703460.791
350,16760384337974.912
351,8679256705967.612
352,16760122096387.49
353,-53481905311518.055
354,8679256705968.437
355,-45400753037482.62
356,17064953461869.643
357,-53481649644522.445
358,8984343738448.049
359,16987115384213.564
360,-45095921671998.06
361,8679281347994.792
362,16987115384213.287
363,8579102049649.033
364,-45500670094237.555
365,16760408980004.068
366,8984088071450.535
367,17065471370455.498
368,8984088071452.217
369,16660491923247.283
370,16760640004972.318
371,-53177049304007.11
372,16986859717218.05
373,16660516565276.74
374,17065240345486.35
375,16760384337975.584
376,8983825829862.02
