,0
0,-2367232415127.6875
1,-15323968621876.791
2,2819836716173.5957
3,23331378487433.92
4,46055846324791.56
5,6508648389856.455
6,26764683541716.67
7,19457669243001.758
8,-7253983599597.268
9,-15669045359557.35
10,54982033936526.66
11,-7393348450595.209
12,16741251345959.35
13,15324798042562.588
14,19769474550071.32
15,35320172545967.16
16,22831603709756.984
17,-4138144759099.592
18,-15417981313.691406
19,-24650580439398.773
20,36204688894777.02
21,-9069514069009.518
22,-13291981882019.162
23,16507826463776.87
24,51620262408564.914
25,30204150045708.766
26,20061370684355.812
27,5068553221761.248
28,-2639634620125.635
29,-4908256622135.244
30,909802378796.377
31,12206306063612.166
32,18150121559820.79
33,22258199832937.75
34,-2205094915199.9863
35,28862359617208.727
36,5834495398244.299
37,10413542170568.947
38,39906618366103.836
39,-10026328226687.12
40,-2959017002621.295
41,13443979863415.385
42,-2639634620125.635
43,-6163650857995.941
44,-8855841434072.29
45,53593289075374.69
46,-16012015743061.508
47,-19630105242840.297
48,26434531269347.89
49,-3620829452223.959
50,-10860347983918.535
51,19986428364636.094
52,-23984004003785.867
53,-20377087084321.684
54,10237396529182.576
55,15637173488543.994
56,10031518038349.338
57,-8360077297755.579
58,17476518723127.658
59,21177196168348.734
60,5198361725221.861
61,17508057881139.174
62,17025749384725.713
63,1696236026584.9707
64,5494163832297.947
65,-8721195109694.66
66,35320172545967.16
67,6212294837323.303
68,-47293624032121.33
69,5219928187373.557
70,23319783915585.008
71,-10066926008973.996
72,14138076229995.494
73,15367272991352.408
74,26809789554928.062
75,8081262152632.568
76,-16521579818941.652
77,-66354319807967.41
78,-17258608634103.684
79,-163465755570.0957
80,-14158826053099.28
81,54793206297533.2
82,14740143331943.533
83,-20404718313602.133
84,-19689773017723.17
85,29119872809615.836
86,23808876960274.016
87,10627257896363.975
88,23637095779860.953
89,15467117083547.713
90,-19966380889914.42
91,24171230858469.914
92,31155034646855.656
93,28563143031320.58
94,-24029182586088.65
95,-814222442649.9434
96,14539125849549.393
97,15604985108542.291
98,2456808227700.7285
99,-38395888708240.445
100,24393156773538.562
101,8479916865787.463
102,23540667103272.938
103,7866349793527.025
104,15477389455495.275
105,25871076852001.82
106,-20615357739506.89
107,15626362229251.018
108,7325871771632.58
109,-3859441589244.619
110,24567572471020.633
111,21578563514291.93
112,30748864027361.54
113,38833081964208.56
114,6508648389856.455
115,31554436964379.1
116,-13617668593280.523
117,12765710100813.81
118,67529181797146.33
119,-4355079732688.9004
120,-2564587720800.336
121,38192203486201.55
122,-13283080455718.92
123,6216401376513.924
124,2772970319501.9863
125,-14768412326051.414
126,6236756961759.486
127,-80433943040403.92
128,7019385253482.01
129,47021766689557.266
130,22591609076436.992
131,6620409294255.596
132,31179392926284.516
133,10037019612252.498
134,-4568372190356.537
135,26366669653230.08
136,-3788732969798.965
137,4510323503564.127
138,18542839226752.89
139,2279710939656.131
140,36298636632413.77
141,22245580489644.406
142,-14497871821176.018
143,19380293849670.336
144,33336620507402.14
