,0
0,776953542025.6862
1,539920259082.0734
2,-658253865510.2373
3,1412159103398.5195
4,1276289575600.87
5,1275843380072.112
6,278731343699.29443
7,692252178887.4558
8,1711203429020.5784
9,690910279372.4757
10,-1584660033927.6353
11,-114866405923.51509
12,1278283637660.8425
13,12310169305.07694
14,-1409179661696.1926
15,1818461962961.529
16,1702896208634.6216
17,345328587197.51245
18,-136324285047.28902
19,585889033609.3617
20,1641112109313.5095
21,855737475777.4215
22,1965462489812.5388
23,1184782088145.2803
24,-53661219259.00759
25,523542645352.96643
26,366591104666.3896
27,1515593869464.6814
28,1345505926403.4258
29,425117254426.94183
30,1076329679144.8506
31,-1379975302801.5945
32,545518178149.0582
33,1714548578170.298
34,-933546801323.2085
35,-182135599201.9751
36,859270926537.4916
37,880736184932.3278
38,897986750450.931
39,211741976615.60953
40,-1583899641337.181
41,1091281779914.2161
42,1542686436297.5212
43,467502835318.2454
44,553596167448.546
45,1247577098074.0986
46,935909300137.2506
47,1404515710318.3909
48,1847611353216.9216
49,-566283208266.5337
50,625597130795.8715
51,1786795874804.5159
52,246331745678.10538
53,888749029257.6339
54,-310805917266.56006
55,2152721576736.2473
56,169795490971.9648
57,-1648064815527.4875
58,596500885440.026
59,-258149146909.40927
60,1357066165782.659
61,296645881307.7716
62,235113861897.13858
63,473209802363.36664
64,1692961112552.1023
65,1148426813376.1306
66,1831272897171.1013
67,1341113796243.189
68,478849265156.92035
69,1298018041410.1824
70,1229557626585.7603
71,855453696411.2272
72,1725864987350.027
73,1255291504055.872
74,1929929270013.2825
75,1445549411892.7957
76,-382566598953.4427
77,203319547876.78604
78,834286753738.4052
79,1226206650214.8909
80,223163295909.59732
81,2518899951369.086
82,-1701673554436.0107
83,914604056168.8011
84,1093670899912.5961
85,2150671484529.8787
86,83793372007.50761
87,589514525085.3241
88,-1029693362594.9307
89,949952747012.6696
90,1428695921273.674
91,1353309141786.1162
92,-1839700540289.5264
93,1816592481546.1477
94,623537864845.6444
95,103044251754.20708
96,1855499727380.944
97,1190081312099.679
98,2046084171679.131
99,-29745425688.094078
100,2378810803334.8267
101,1483198243129.0115
102,500749750621.7865
103,2811730168103.738
104,1232420208422.017
105,565394149037.4557
106,521725292090.7463
107,849524327839.0464
108,465817164886.6317
109,1173320430546.5886
110,2181100900886.195
111,-757168325788.6509
112,312690574216.1118
113,-84926600595.71284
114,1065147385456.0385
115,919456703392.402
116,-516395445437.94904
117,-1104416825198.2976
118,-628039673007.658
119,695255138684.0397
120,1259127033670.3953
121,328848258734.3022
122,435581194235.53864
123,303326550384.3151
124,-943246725325.9355
125,2172773921696.83
126,-1649829183093.5872
127,391610568502.33527
128,1363621789852.4788
129,573096921509.7089
130,-1211656587204.5403
131,-1020405765014.687
132,1739722489320.341
133,1523240086471.637
134,2200501067313.3223
135,1136637662271.8752
136,1972058555410.5325
137,-925155887159.7645
138,775983219377.5186
139,1015599419593.7704
140,2007191404607.4382
141,218604337412.68643
142,-804639298996.8451
143,1058079948862.9537
144,1885261692748.21
145,2138685306583.7092
146,62056390033.919464
147,2091182852386.3992
148,1331779334222.9175
149,511167291682.11957
150,459279348698.7565
151,-841946482483.8926
152,464588702642.43866
153,426986735840.8498
154,55493778412.058815
155,508829066397.7897
156,1983110520558.8142
157,2222387293682.6304
158,1265142658794.1584
159,825307814237.5751
160,-1154035450941.5056
161,1823923990949.805
162,-1374821971921.2659
163,1856072367153.6487
164,1154286044525.0945
165,-666379703570.6737
166,53460640088.149445
167,-1020405765013.5337
168,-1220018741043.875
169,169989585264.37473
170,1707038428015.3413
171,1060043987405.7809
172,2002844058586.1511
173,-1821552437736.8735
174,1205626013873.992
175,1055828651447.795
176,875710291223.953
177,-20072654818.115685
178,54364434083.28616
179,-1371564724425.3857
180,1226495085185.096
181,186801176327.7551
182,633092724893.3314
183,922580690389.9816
184,1248088472615.8438
185,2063336151234.2795
186,554501396296.3439
187,1859684701472.3855
188,1455403749570.9622
189,1096501090849.3481
190,718372347887.7369
191,945086590713.2482
192,310449274293.1203
193,-341340538.0959106
194,500178135434.40533
195,-1804819853243.0073
196,707978226699.5989
197,-923610196949.749
198,469786339985.3945
199,2000934523993.6548
200,811792329518.2792
201,1261279915806.0005
202,2579241803087.0728
203,2133354601634.8083
204,432905548991.2695
205,259472636309.39005
206,-1156388709523.6472
207,531525931950.46136
208,2049476107971.1096
209,330806720592.06244
210,-1548366421539.2722
211,620533396755.932
212,-1187295622533.4683
213,1430361110908.0383
214,930161825252.1715
215,2183970168278.1875
216,1067875231282.2793
217,578575161210.4259
218,-6890541699.312341
219,646960165845.639
220,1702461270985.865
221,777771651740.785
222,1759082139650.1292
223,-636749172708.3402
224,1443840039675.2397
225,-1255235106146.6296
226,1918084074194.9397
227,-572498076877.5743
228,914840029792.8882
229,-986682084924.3472
230,863624424927.2947
231,2275785319325.4277
232,2320084798927.377
233,2006597592328.992
234,-549029859069.83795
235,326254447652.182
236,2022145142771.568
237,934989122701.3444
238,1815795837907.3381
239,1594045069866.4915
240,-1458209605.1879518
241,1257994734358.7188
242,1899927343789.1292
243,621813987154.025
244,2085577688896.8699
245,-871912641041.1843
246,573426007596.167
247,1110777982138.8665
248,1037721619586.4177
249,1240874656281.815
250,2054444604842.5964
251,877042237088.2362
252,2783213516481.05
253,-126350138080.43257
254,2140972381146.299
255,374139048196.87787
256,1275639835839.1729
257,1522611441932.4133
258,-1753430174376.5442
259,29561200669.62638
260,-265614627495.19775
261,314269962002.4845
262,993763437047.3678
263,543468085941.8229
264,673374043537.421
265,-1227565465073.8457
266,997169161198.7399
267,920196248172.0573
268,1307911965190.8499
269,1490317839417.6365
270,131997698264.398
271,1559185384253.598
272,2257402339983.188
273,255220280992.6049
274,1119473714711.3086
275,1258795879446.9294
276,-160112869057.39114
277,1451053623949.2188
278,1230177641214.0535
279,1606045938956.9587
280,121491368041.62968
281,1323345956205.6206
282,2237867717329.9233
283,287667697410.40625
284,6449352540.9555435
285,1550665386656.1184
286,-1275888249171.024
287,-1413188609957.4338
288,1335709458437.9895
289,1897300078734.887
290,363393326081.9367
291,222208707646.0812
292,762197499215.3861
293,-648406806169.6367
294,428131466703.33014
295,811867683047.1621
296,1970210588657.677
297,836297092420.2633
298,2048233237091.2346
299,1029401929601.1989
300,-1725862992011.0723
301,1126814999715.0857
302,2814217697008.447
303,2021104500846.1409
304,1167962491493.327
305,1345455682578.2986
306,1584069534559.4226
307,370264467698.4589
308,283892991160.22046
309,953209799589.4427
310,172019152463.92374
311,-1295033002798.3667
312,960089265908.9698
313,1292856393950.574
314,843463812255.736
315,-1520892536243.4314
316,1491311012880.734
317,1477325843886.0813
318,589333177941.299
319,1265237341625.0984
320,1083302536742.6755
321,452447655325.9814
322,1260060552092.4902
323,-1592352805505.7957
324,-1436691974035.867
325,1002077005773.0807
326,-1155861374087.5183
327,1659454500696.5015
328,259082341553.79044
329,665047064349.0175
330,1272514658071.2432
331,946842952691.3634
332,2286606724254.676
333,66019968223.30228
334,697073222582.2244
335,545041538606.5953
336,924258651273.1024
337,1291328342162.486
338,139313413273.3486
339,1541791587730.4944
340,1645442754319.5247
341,-1020743598424.353
342,418385242564.087
343,-999051466349.5646
344,262960628261.18893
345,922724297318.9182
346,-646019653620.5093
347,1447313779458.4958
348,281023046700.3121
349,543741829768.45306
350,1357930525370.3044
351,954263226087.5536
352,-1638363790580.0564
353,2041881421938.1604
354,346862286337.4146
355,2748901995053.806
356,-368090960150.58856
357,2059557756842.4583
358,698934599798.0768
359,418003517692.8195
360,1717394841052.5461
361,1043108318964.0802
362,1368930889386.3577
363,-888443540074.9932
364,2014405976541.9656
365,547809881149.7139
366,1534549063144.007
367,1230503884435.579
368,579626293438.1744
369,1324111581400.321
370,662961372135.4762
371,2683780999194.8613
372,958521587590.0275
373,-16732116044.302025
374,1153242725849.2776
375,1209432893416.2922
376,-1214049980355.644
377,947097493694.2784
378,-1676059486253.5803
379,2106426587695.1345
380,723452396596.2834
381,629810619765.8411
382,-1553465382036.6125
383,1234357155620.1736
384,2078408983524.112
385,2181681786315.0364
386,520812928209.2961
387,888890662202.5579
388,1714167204579.3718
389,1334046677482.73
390,1698543614368.8926
391,409639239456.27625
392,1071882458870.4669
393,1323962619932.7024
394,1111248793237.0981
395,93109155674.2614
396,1978281237577.0046
